conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,93828E+18;Thu Jun 26 17:12:59 +0000 2025;0;TPK KOJA Berikan Bantuan Sosial Untuk 100 Anak Yayasan Ar Raudhah https://t.co/oduQQjoLGU https://t.co/dtTK19Qh8p;1,93828E+18;https://pbs.twimg.com/media/GuYrWxBbAAA7MWq.jpg;;in;;0;0;0;https://x.com/undefined/status/1938284368864416028;1,57527E+18;
1,93828E+18;Thu Jun 26 17:12:04 +0000 2025;2;Dalam rangka HUT Bhayangkara ke-79 Polsek Teluk Nibung menyerahkan bantuan sosial kepada Ibu Rusnah (75) di Kel. Perjuangan. Bantuan berupa tongkat bantu jalan &amp;;;;;;;;;;;
1,93828E+18;Thu Jun 26 16:53:14 +0000 2025;2;Dalam rangka HUT Bhayangkara ke-79 Polsek Teluk Nibung menyalurkan bantuan sosial kpd Ibu Rusnah (75 thn) di Jl. Pancing Kel. Perjuangan. Bantuan berupa tongkat telur dan sembako diserahkan oleh Kapolsek AKP Rinaldi SH MH. Polri hadir tak hanya menjaga tapi juga peduli. https://t.co/a7ISwcAiIL;1,93828E+18;https://pbs.twimg.com/ext_tw_video_thumb/1938279310626037760/pu/img/yYotA7t6pqh-_x97.jpg;;in;;0;0;0;https://x.com/undefined/status/1938279396839919914;1,85244E+18;
1,93828E+18;Thu Jun 26 16:40:41 +0000 2025;0;Polres Buleleng Salurkan Alsistan dan Bantuan Sosial untuk Masyarakat Sebagai wujud nyata Polri untuk masyarakat Polres Buleleng menyalurkan bantuan berupa alat sistem pertanian (alsistan) dan bantuan sosial kepada masyarakat. https://t.co/xeTLIEGrzr;1,93828E+18;https://pbs.twimg.com/media/GuYj96waQAAwcgO.jpg;;in;;0;0;0;https://x.com/undefined/status/1938276240517173323;2259889111;
1,93827E+18;Thu Jun 26 16:05:21 +0000 2025;1;Lapas Kelas IIA Bengkalis menyalurkan bantuan sosial kepada keluarga WBP sebagai wujud kepedulian dan implementasi program Asta Cita. ⠀ ⠀ #LapasBengkalis #Pemasyarakatan #Bansos2025 #Kemenimipas #AstaCita https://t.co/d66s5xRtnf;1,93827E+18;https://pbs.twimg.com/media/GuYb0EkbEAIkbZe.jpg;;in;;0;1;1;https://x.com/undefined/status/1938267345476325852;1,33694E+18;
1,93826E+18;Thu Jun 26 15:30:56 +0000 2025;0;Bantuan sosial dalam rangka Hari Bhayangkara ke 79 #bidhumaspoldajatim #polresmalang #polresmalang_polisiadem https://t.co/kG6kEV9hTw;1,93826E+18;;;in;;0;0;0;https://x.com/undefined/status/1938258685245198726;1,90258E+18;
1,93825E+18;Thu Jun 26 15:07:28 +0000 2025;0;Bhabinkamtibmas Polsek Kradenan Brigadir Ardy Teguh P. S.H. M.M. menyambangi rumah seorang anak berkebutuhan khusus di wilayah binaannya dan memberikan bantuan sembako sebagai bentuk kepedulian sosial. https://t.co/Tx0lIhdupx;1,93825E+18;https://pbs.twimg.com/ext_tw_video_thumb/1938252644323332096/pu/img/rTh-A_cP90UOsBmY.jpg;;in;;0;0;0;https://x.com/undefined/status/1938252779182870853;1,22241E+18;
1,93825E+18;Thu Jun 26 15:01:12 +0000 2025;0;Bhabinkamtibmas Polsek Kradenan Brigadir Ardy Teguh P. S.H. M.M. menyambangi rumah seorang anak berkebutuhan khusus di wilayah binaannya dan memberikan bantuan sembako sebagai bentuk kepedulian sosial. https://t.co/fuVdGqSQ5a;1,93825E+18;https://pbs.twimg.com/ext_tw_video_thumb/1938250813421629440/pu/img/Nr60xhMYN6odUcZc.jpg;;in;;0;0;0;https://x.com/undefined/status/1938251202564919478;1,22241E+18;
1,93824E+18;Thu Jun 26 14:34:06 +0000 2025;1;Kapolsek Barus IPTU MULIA RIADI S.H. dan Anggota serta Bhayangkari Ranting Barus Menyerahkan Bantuan Sosial Kepada Purnawirawan Dan Warakawuri Dalam Rangka Hari Bhayangkara Ke-79 Tahun 2025. https://t.co/10L5tCVVpC;1,93824E+18;https://pbs.twimg.com/media/GuYG-JvbsAAtNH5.jpg;;in;;0;0;0;https://x.com/undefined/status/1938244382559551909;1,1688E+18;
1,93824E+18;Thu Jun 26 14:33:40 +0000 2025;0;Salurkan Bantuan Sosial dalam rangka Hari Bhayangkara Ke-79 #polresmalang #polsekpakisaji #haribhayangkara79 #polriuntukmasyarakat https://t.co/m4iFMwhnaN;1,93824E+18;https://pbs.twimg.com/media/GuYG5XYaoAAzqUm.jpg;;in;;0;0;0;https://x.com/undefined/status/1938244276313567406;1,92441E+18;
1,93824E+18;Thu Jun 26 14:27:57 +0000 2025;6;Dalam rangka menyambut Hari Bhayangkara ke-79 Polres Magelang Kota menggelar kegiatan bakti sosial dengan menyalurkan 100 paket bantuan sosial kepada masyarakat di Kota Magelang dan Kecamatan Bandongan #polresmagelangkota #kotamagelang #HariBhayangkara79 #polriuntukmasyarakat https://t.co/EUqW7c5cH8;1,93824E+18;https://pbs.twimg.com/media/GuYFkzRbAAA6MI1.jpg;;in;;0;0;1;https://x.com/undefined/status/1938242837457604940;1,24307E+18;
1,93824E+18;Thu Jun 26 14:18:48 +0000 2025;1;Salurkan bantuan sosial dalam rangka hari Bhayangkara ke-79 #polsekkepanjen #polresmalang_polisiadem #humaspoldajatim #polriuntukmasyarakat https://t.co/akKvXujsjb;1,93824E+18;https://pbs.twimg.com/media/GuYDfkVbEAgmASq.jpg;;in;;0;0;0;https://x.com/undefined/status/1938240534017126791;1,41409E+18;
1,93824E+18;Thu Jun 26 14:16:02 +0000 2025;1;Bakti Religi dan Bantuan Sosial dalam rangka Hari Bhayangkara ke-79 Polres Teluk Wondama #haribhayangkara79 #polriuntukmasyarakat #polrihumanis #polripresisi @humas_poldaPB @DivHumas_Polri https://t.co/t0xYGPBjL0;1,93824E+18;https://pbs.twimg.com/media/GuYC2KjbEAIreJI.jpg;;in;;0;0;0;https://x.com/undefined/status/1938239838203040163;1,46811E+18;
1,93824E+18;Thu Jun 26 14:13:22 +0000 2025;0;Mereka juga mendapatkan jaminan hidup setelah lulus berupa sembako serta bantuan sewa tempat tinggal selama tiga bulan. Langkah ini diharapkan dapat memperkuat kesiapan para lulusan untuk kembali berperan aktif dalam masyarakat. Kepala Dinas Sosial Provinsi Jawa Barat https://t.co/Alu6LVDLFc;1,93824E+18;https://pbs.twimg.com/media/GuYCL83bEAMU8Pv.jpg;dinsosjabar;in;;0;1;0;https://x.com/undefined/status/1938239167403856033;1448034451;
1,93824E+18;Thu Jun 26 14:13:21 +0000 2025;0;seperti menjahit olah pangan dan cukur rambut. Selain itu peserta juga mengikuti pembinaan sosial rohani fisik dan mental secara menyeluruh. Sebagai bentuk dukungan keberlanjutan lulusan menerima bantuan berupa modal usaha perlengkapan kerja dan sertifikat keterampilan. https://t.co/jqsa6OMHPq;1,93824E+18;https://pbs.twimg.com/media/GuYCKhTbEAgywof.jpg;dinsosjabar;in;;0;1;0;https://x.com/undefined/status/1938239162739798507;1448034451;
1,93823E+18;Thu Jun 26 13:40:22 +0000 2025;1;Program MBG merupakan inisiatif nyata pemerintah untuk mengatasi gizi buruk dan stunting. Lebih dari sekadar bantuan sosial program ini bertujuan memastikan setiap anak Indonesia memperoleh akses makanan bergizi demi tumbuh sehat cerdas dan berdaya saing. https://t.co/8sMsPGoIgq;1,93823E+18;https://pbs.twimg.com/media/GuX6rrBagAAoYIS.jpg;Kemhan_RI;in;;0;2;0;https://x.com/undefined/status/1938230862417711161;7,14719E+17;
1,93822E+18;Thu Jun 26 13:10:56 +0000 2025;0;Dinas Sosial Bersama Sentra Wyata Guna Serahkan Bantuan untuk Lansia dan Penyandang Disabilitas https://t.co/acVk0aAYtw;1,93822E+18;;;in;;0;0;0;https://x.com/undefined/status/1938223455192899944;1,29031E+18;
1,93808E+18;Thu Jun 26 13:09:26 +0000 2025;0;@bobabuyat Warga Negara Indonesia (WNI). Terdaftar aktif sebagai peserta BPJS Ketenagakerjaan Gaji maksimal Rp 3 5 juta atau sesuai UMK/UMP wilayah Bukan penerima bantuan sosial lain seperti PKH atau BLT Bukan ASN TNI atau anggota Polri.;1,93822E+18;;bobabuyat;in;;0;0;0;https://x.com/undefined/status/1938223076015296971;1,89531E+18;
1,93821E+18;Thu Jun 26 12:34:36 +0000 2025;0;Polsek Batangtoru Salurkan Bantuan Sosial untuk Warga Kurang Mampu dalam Rangka Hari Bhayangkara ke-79 https://t.co/pYPmgRLs8z #HariBhayangkara79 #PolriPresisiUntukNegeri #BaktiSosialPolri #PolsekBatangtoruPeduli #TapanuliSelatan #PolriMelindungiMelayani #bitvonline;1,93821E+18;;;in;;0;0;0;https://x.com/undefined/status/1938214308737126726;1,64103E+18;
1,9374E+18;Thu Jun 26 11:49:09 +0000 2025;0;@CeritaHwaMulan Iya kakmmaku skrng di titik abu2. Perkara konsisten ini juga jd masalah buatku akhirnya memper parah kondisi ovt yg semakin berlebihan. Skrng lg nyoba kasih afirmasi positif tpi msh suka keluar dari arahan diri sendiri. Ternyata diri sendi;1,9382E+18;;CeritaHwaMulan;in;;0;1;0;https://x.com/undefined/status/1938202874129093106;1,22962E+18;
1,9382E+18;Thu Jun 26 11:28:07 +0000 2025;5;Bantuan Sosial Satbrimob Polda Sumbar dalam Rangka Hari Bhayangkara Ke-79 dipimpin Danyon A Pelopor AKBP Encep Henry S.H. M.H. @brimobsumbar_media.id https://t.co/25CNiUmJ2k;1,9382E+18;https://pbs.twimg.com/amplify_video_thumb/1938197205086834690/img/LqctFooSIp1udxzn.jpg;;in;;0;0;2;https://x.com/undefined/status/1938197579206160864;9,58189E+17;
1,9382E+18;Thu Jun 26 11:19:02 +0000 2025;0;Penyerahan bantuan sosial untuk biaya operasi atau pengobatan di rumah sakit kepada warga yang membutuhkan. Semoga lekas sembuh https://t.co/Bj4ug51622;1,9382E+18;https://pbs.twimg.com/media/GuXaU-EbEAM_LnR.jpg;;in;;0;0;0;https://x.com/undefined/status/1938195294644289712;1,1861E+18;
1,93819E+18;Thu Jun 26 11:01:24 +0000 2025;0;Dalam rangka memperingati Hari Bhayangkara ke-79 Polsek Sirenja berbagi kasih lewat penyaluran bantuan sosial kepada warga kurang mampu di Desa Tanjung Padang Rabu (25/6/25). https://t.co/rzcnTEQn6x;1,93819E+18;https://pbs.twimg.com/media/GuXWS9XbEAIRbg9.jpg;;in;;0;0;0;https://x.com/undefined/status/1938190854474371540;308209934;
1,93819E+18;Thu Jun 26 10:59:03 +0000 2025;4;Sambut Hari Bhayangkara Ke 79 : Sat Binmas Polres Tolikara Salurkan 25 Paket Bantuan Sosial Berupa Sembako Kepada Masyarakat Yang Membutuhkan https://t.co/jWY5uYdAAW;1,93819E+18;;;in;;0;0;0;https://x.com/undefined/status/1938190265157890271;1,30028E+18;
1,93819E+18;Thu Jun 26 10:58:01 +0000 2025;0;Danrem 172/PWY Salurkan Bantuan Sembako Untuk 11 Kepala Suku di Yahukimo https://t.co/bPB9qshzpn;1,93819E+18;;;in;;0;0;0;https://x.com/undefined/status/1938190002195992924;1076275093;
1,93819E+18;Thu Jun 26 10:55:28 +0000 2025;0;maupun Kwarcab Trenggalek dan semua pihak yang telah memberikan bantuan dan dukungan sehingga kegiatan bisa berjalan lancar tanpa kendala berarti. Selengkapnya https://t.co/szrmcknfGC;1,93819E+18;;IniTrenggalek;in;;0;0;0;https://x.com/undefined/status/1938189362736599302;9,47182E+17;
1,93818E+18;Thu Jun 26 10:34:30 +0000 2025;0;Bhabinkamtibmas kelurahan mantrijeron Aiptu Teguh Santoso bersama Babinsa melaksanakan Pendampingan Penyerahan Bantuan sosial JSLU (Jaminan Sosial Lanjut Usia) bagi warga di E Warung wilayah Suryodiningratan bagi warga kelurahan Mantrijeron Kamis (26/06) https://t.co/d7vCzroRwl https://t.co/S6tSiFWBGX;1,93818E+18;https://pbs.twimg.com/media/GuXQJ1bbEAEJpwV.jpg;;in;;0;0;0;https://x.com/undefined/status/1938184085433946383;1,2608E+18;
1,93818E+18;Thu Jun 26 10:21:16 +0000 2025;0;Menyambut Hari Bhayangkara ke-79 yang jatuh pada 1 Juli 2025 nanti Ditpolairud Polda DIY menyalurkan bantuan sosial dari Polda DIY berupa 100 paket sembako kepada masyarakat Pesisir di Pantai Depok Kuwaru dan Congot https://t.co/PdNTARtjcH;1,93818E+18;;;in;;0;0;0;https://x.com/undefined/status/1938180757811503365;2439261715;
1,93818E+18;Thu Jun 26 10:15:40 +0000 2025;1;Dalam rangka menyambut Hari Bhayangkara ke-79 Direktorat Pengamanan Objek Vital (Ditpamobvit) Polda Metro Jaya telah melaksanakan kegiatan Bakti Sosial pada Rabu 25 Juni 2025. Kegiatan ini diwujudkan dengan pembagian 250 paket bantuan sembako kepada masyarakat yang kurang mamp https://t.co/FsxQAk8Ig8;1,93818E+18;https://pbs.twimg.com/media/GuXLpZvaQAEbsiZ.jpg;;in;;0;0;0;https://x.com/undefined/status/1938179345203531916;1,83021E+18;
